id;logo_url;primary_color;display_name;created_date;last_modified_date;created_by;last_modified_by
1;Bosnia and Herzegovina Unbranded Frozen Gloves;Malawi;integrated;2021-04-19T07:28:44;2021-04-19T02:51:53;Computers Brand;port engineer Global
2;Argentina;Accounts;Fresh Fresh Ergonomic Concrete Shoes;2021-04-18T09:43:39;2021-04-18T09:06:22;Drive benchmark hacking;Visionary Plains Designer
3;B2B card wireless;Incredible;indexing;2021-04-18T20:16:35;2021-04-18T11:36:38;demand-driven Analyst New Hampshire;Beauty
4;Savings Account Kroon copy;Grocery;access;2021-04-18T14:13:00;2021-04-19T02:17:59;Iceland;e-tailers Investment Account Flat
5;Metal;blue bypass Soap;Kids XML;2021-04-18T08:49:03;2021-04-18T13:08:50;Practical Steel Chips Algerian Dinar synthesizing;Designer application Avon
6;connect;multi-byte;Markets Decentralized;2021-04-18T10:45:24;2021-04-19T00:14:12;actuating;multi-tasking intangible Central
7;Ports cross-platform;Rubber generating;mindshare Bedfordshire;2021-04-18T07:41:44;2021-04-19T06:44:35;Senior Kansas;Incredible Steel Towels
8;Buckinghamshire Officer;Moldovan Leu dot-com Cambridgeshire;Implementation Designer bus;2021-04-18T16:59:07;2021-04-19T05:04:11;AI;Steel New Jersey
9;Chicken;Fresh green;Global;2021-04-19T03:11:18;2021-04-18T17:27:04;Michigan;frame
10;e-business hard drive Circle;Berkshire Ergonomic;Investor user-facing;2021-04-18T21:12:06;2021-04-18T11:05:38;array Via;Intelligent Concrete Table Auto Loan Account Awesome
