id;role_name;permission_id;created_date;last_modified_date;created_by;last_modified_by
1;deposit Chicken Wooden;10370;2021-05-11T20:29:11;2021-05-12T01:07:40;deposit Refined Granite Mouse Intelligent Plastic Cheese;Analyst calculating
2;recontextualize;59346;2021-05-12T01:42:02;2021-05-12T12:59:34;Steel South Carolina;Beauty deposit Incredible Soft Bacon
3;24 hour Creative;73604;2021-05-12T00:08:53;2021-05-11T14:16:44;dedicated redundant PNG;South Carolina Pennsylvania bleeding-edge
4;Steel;54988;2021-05-11T20:42:49;2021-05-11T23:25:48;XML Specialist;eco-centric Future-proofed Handcrafted
5;Tactics Exclusive Implementation;3135;2021-05-11T16:06:26;2021-05-12T09:42:35;system;card
6;5th generation United States Minor Outlying Islands;41821;2021-05-11T16:19:58;2021-05-11T22:41:37;action-items;Sports
7;Jewelery;73291;2021-05-11T16:13:19;2021-05-12T09:57:02;architect;Hat moderator North Carolina
8;optimizing deposit vortals;29009;2021-05-11T19:46:19;2021-05-11T23:32:37;Ukraine;Junction Personal Loan Account Shoes
9;Concrete;10478;2021-05-12T09:08:18;2021-05-11T22:34:36;withdrawal;Ville
10;system methodologies Gorgeous Concrete Fish;40949;2021-05-12T03:21:12;2021-05-11T13:57:03;turquoise;magenta non-volatile facilitate
