id;logo_url;primary_color;background_color
1;synthesize Borders;portals;Licensed invoice productize
2;Senior Fantastic Rubber Fish 6th generation;Licensed Wooden Shoes Fantastic;interface dedicated
3;Borders Auto Loan Account Isle;silver;Legacy
4;North Carolina EXE;Pre-emptive coherent;Rustic Sleek Rubber Towels Diverse
5;plum driver;synergy;program Lebanese Pound Minnesota
6;overriding optical;Customer azure Savings Account;invoice cross-platform Coordinator
7;Toys;Associate Lead;Yemeni Rial Cheese
8;Lari Chair;connect Cotton Ergonomic;Avon Avon fuchsia
9;card bypass Underpass;Toys Cambridgeshire;connecting Savings Account interactive
10;innovate;Handmade Keyboard;Ergonomic Practical
