id;department_name;created_date;lst_modified_date;created_by;last_modified_by
1;solid state intangible;2021-04-18T22:35:04;2021-04-18T19:38:58;Arkansas Supervisor Principal;users
2;Home Loan Account;2021-04-18T23:03:11;2021-04-19T06:57:04;orchestrate Generic Soft Fish IB;circuit
3;generating;2021-04-18T23:51:41;2021-04-18T17:20:52;Specialist;redundant
4;Open-source Jewelery;2021-04-18T20:33:41;2021-04-18T22:19:00;composite;backing up
5;hardware;2021-04-18T14:03:38;2021-04-18T20:35:37;back-end;calculate
6;bricks-and-clicks;2021-04-19T01:29:33;2021-04-18T14:34:33;Utah Coordinator;Functionality envisioneer
7;repurpose;2021-04-18T12:53:33;2021-04-18T10:06:21;Cambridgeshire Pizza;Borders Fresh expedite
8;Texas hacking back up;2021-04-19T01:37:04;2021-04-18T21:56:57;Games index Plastic;Roads Table Engineer
9;knowledge base Valleys;2021-04-19T05:16:06;2021-04-18T19:46:07;calculate Organized;brand red
10;Music Arkansas;2021-04-18T09:58:54;2021-04-19T02:03:57;invoice transmitting;non-volatile invoice Realigned
