id;code;qr_code_url;has_present;expired_at
1;Metal;Bedfordshire;false;2021-07-22T19:36:27
2;driver Berkshire;calculating;false;2021-07-22T22:58:38
3;Savings Account deposit;XSS;false;2021-07-22T23:10:15
4;Awesome Mauritius Rupee Fantastic;Applications Ports Focused;false;2021-07-22T11:16:26
5;national Cross-group extend;protocol Digitized;false;2021-07-22T17:21:02
6;bus back up Industrial;Illinois;false;2021-07-22T08:09:22
7;Licensed Plastic Pants Product interface;brand Outdoors;true;2021-07-22T15:59:40
8;Awesome Corporate;grey Guadeloupe Money Market Account;false;2021-07-22T22:54:05
9;Small actuating Berkshire;brand;false;2021-07-22T21:49:27
10;panel Unbranded Wooden Car;invoice;true;2021-07-22T13:07:16
